metric,value,unit
Paper capital,500000.0,GBP
Daily VaR appetite,2.0,% capital
Daily risk budget,10000.0,GBP
Confidence level,95.0,%
Reference position,100.0,MWh
Scenario VaR,2564.5265289288027,GBP
Expected Shortfall,3628.5828699539857,GBP
Worst simulated loss,8296.13234407047,GBP
Best simulated profit,11883.549451053736,GBP
VaR budget utilisation,25.645265289288027,%
ES budget utilisation,36.285828699539856,%
Maximum volume by VaR,389.93552561052974,MWh
Maximum volume by Expected Shortfall,275.5896822090992,MWh
Binding maximum permissible volume,275.5896822090992,MWh
