settlement_period,gb_time,demand_mw,embedded_wind_mw,transmission_wind_mw,total_wind_mw,solar_mw,nuclear_mw,net_import_mw,residual_before_nuclear_mw,residual_after_nuclear_mw,net_system_short_mw,inertia_gvas,price_p10_gbp_mwh,price_p50_gbp_mwh,price_p90_gbp_mwh,negative_price_probability
1,00:00,21924.0,797.3620900281031,4022.597870493187,4819.959960521291,0.0,4948.0,3885.219281632576,17104.04003947871,12156.04003947871,8270.820757846133,157.56035331723749,73.19699285770763,80.35000828868934,89.90480159246403,0.0
2,00:30,21245.0,881.983504270617,4130.131754229355,5012.115258499972,3.081862969804307,4956.0,3921.241264698661,16229.802878530223,11273.802878530223,7352.561613831562,150.53861687778783,66.90008677457371,78.09006431270925,87.60905883418093,0.0
3,01:00,20930.0,928.714633769483,4423.047745011664,5351.762378781147,8.861624053617929,4948.0,3766.9537330586895,15569.375997165236,10621.375997165236,6854.422264106546,149.0747518708941,66.04306338890828,77.49320504775395,86.32285706616433,0.0
4,01:30,20457.0,932.2126060838472,4487.555808674962,5419.768414758809,9.544586090841694,4957.0,4060.58297379208,15027.686999150348,10070.686999150348,6010.104025358269,148.71863659993843,62.69100654171768,75.97954907260987,84.47557273366098,0.0
5,02:00,20281.0,895.2964229680503,4408.425539101164,5303.721962069214,4.696874443833998,4950.0,4086.819204564083,14972.581163486951,10022.581163486951,5935.761958922871,148.61379815313862,63.28622715995327,76.40662161482481,84.77135211186722,0.0
6,02:30,19948.0,931.0736392370573,4265.1433736907165,5196.217012927774,1.8135756037190784,4942.0,3957.01559911157,14749.969411468508,9807.969411468508,5850.953812356938,149.2295237450348,62.09406483336095,75.45102892233103,83.13093817143485,0.0
7,03:00,19607.0,890.412269224044,4147.109318830586,5037.52158805463,4.927398871237312,4941.0,3487.4353731129822,14564.551013074131,9623.551013074131,6136.115639961149,150.88816786780254,58.89504987462719,74.89098375046547,82.6311694154678,0.0
8,03:30,19273.0,860.3283494186375,4003.479231469467,4863.807580888104,1.200401420322799,4947.0,3180.7732524258795,14407.992017691571,9460.992017691571,6280.218765265694,151.63321248955708,58.62189554066953,73.72885724281588,80.28745375278993,0.0
9,04:00,19124.0,889.3675708102031,4093.433718764123,4982.801289574326,0.0,4948.0,2653.587500545468,14141.198710425671,9193.198710425671,6539.611209880206,153.771621030807,55.58683692118263,72.68570813560578,79.63922928311153,0.0
10,04:30,18747.0,1021.1663820203364,4629.035711509467,5650.202093529803,5.545662564923556,4956.0,1937.5137096844528,13091.252243905274,8135.252243905274,6197.738534220821,153.83762995137292,50.35306728736165,70.9868032130569,76.70303367459408,0.0
11,05:00,19160.0,1115.9027418821738,4891.036110577976,6006.938852460149,12.909664857236685,4950.0,1408.396043533309,13140.151482682611,8190.151482682613,6781.755439149304,154.81880707404747,53.05143781118932,73.45947724415322,79.942746962029,0.0
12,05:30,19507.0,1250.748440453005,5001.213570249077,6251.962010702082,9.84000357908912,4956.0,1376.1957250168666,13245.197985718827,8289.197985718829,6913.002260701962,158.41506329029778,56.54880660946121,74.0468356597832,80.40747773688925,0.0
13,06:00,21405.0,1308.4171469863293,5564.912973424187,6873.330120410516,17.180149442954036,4950.0,1060.5052039783006,14514.48973014653,9564.48973014653,8503.98452616823,159.38819644456072,62.75269816187458,77.74695405319159,85.29688314677533,0.0
14,06:30,22662.0,1351.4902206627914,6170.903297049013,7522.393517711805,41.04197376378848,4954.0,743.915979874311,15098.564508524409,10144.564508524409,9400.648528650096,161.1201677344276,71.86166268228372,89.93806012769775,97.91973018177045,0.0
15,07:00,25319.0,1569.5855575179296,7295.158475321831,8864.74403283976,152.26526042872672,4958.0,1473.9523772237742,16301.990706731513,11343.990706731513,9870.03832950774,157.91269990454063,82.26580544166558,93.44943039111445,101.37409036117586,0.0
16,07:30,26195.0,1574.383057074837,7592.138145251716,9166.521202326554,917.9612030492566,4958.0,1374.7626789945728,16110.517594624189,11152.517594624189,9777.754915629615,159.70946940955164,81.15274973398267,91.98548434323614,99.78124893297873,0.0
17,08:00,27061.0,1655.5205754690978,7030.9469810217815,8686.46755649088,1546.0093337397996,4957.0,2349.8499646175355,16828.52310976932,11871.52310976932,9521.673145151786,159.65246046728447,82.22135570470329,90.7745284387248,98.52236547566515,0.0
18,08:30,26864.0,1514.452462307646,7089.831243883243,8604.283706190889,2073.1408202643474,4952.0,3035.071655212525,16186.575473544764,11234.575473544764,8199.50381833224,158.8539083348499,78.7488680588098,89.36095107867956,96.76101159448646,0.0
19,09:00,26345.0,1495.161557742737,7257.255143411307,8752.416701154043,2754.002527196041,4957.0,4495.655813157655,14838.580771649917,9881.580771649917,5385.924958492262,158.11831621485214,71.43273536282469,86.6932167712801,95.28422636480114,0.0
