settlement_period,gb_time,demand_mw,embedded_wind_mw,transmission_wind_mw,total_wind_mw,solar_mw,nuclear_mw,net_import_mw,residual_before_nuclear_mw,residual_after_nuclear_mw,net_system_short_mw,inertia_gvas,price_p10_gbp_mwh,price_p50_gbp_mwh,price_p90_gbp_mwh,negative_price_probability
1,00:00,22002.0,877.1768869030509,4518.262281810332,5395.439168713383,5.138150023270695,3949.0,4830.991654966563,16601.422681263346,12652.422681263346,7821.431026296783,137.25203139587992,72.68365690457148,80.43647114730146,89.13493589261897,0.0
2,00:30,21724.0,931.054100710754,4053.2535459659616,4984.307646676716,0.0,3949.0,4936.00081359389,16739.692353323284,12790.692353323284,7854.691539729394,133.96052442081344,71.32545794566452,79.320262761023,88.22001287170477,0.0
3,01:00,21542.0,947.3995940730316,3845.260697640905,4792.660291713937,10.857974530810996,3973.0,4886.758257620401,16738.481733755252,12765.481733755252,7878.723476134851,131.61890683199127,70.2607575578286,78.40558841252891,87.2065324613851,0.0
4,01:30,21354.0,907.3818833036,3901.026516255048,4808.408399558648,10.876832338105473,4017.0,4906.810935905853,16534.714768103247,12517.714768103247,7610.903832197395,132.422740642415,68.79219367413171,77.22944979199896,85.72858817047785,0.0
5,02:00,20675.0,848.7487438705718,3616.6423246812014,4465.391068551773,10.876832338105473,4050.0,4744.594706727775,16198.732099110122,12148.732099110122,7404.137392382348,130.99438647275727,69.51633382648507,76.85951391543193,85.00614548623048,0.0
6,02:30,20080.0,801.266402924824,3620.417586664109,4421.683989588933,7.006059230505408,4059.0,4504.57617303061,15651.30995118056,11592.30995118056,7087.733778149951,129.30716187121894,69.32437935576824,75.36084297143017,83.06479490460602,0.0
7,03:00,19271.0,785.6766246876342,3723.370083585224,4509.046708272858,5.257328245223662,4062.0,4037.372140767982,14756.695963481918,10694.695963481918,6657.323822713935,128.5434004105112,67.3806535892975,74.38354752715671,81.2780953799274,0.0
8,03:30,19043.0,725.9088952394045,3711.50842057126,4437.417315810664,5.050264658841415,4055.0,4505.043324735461,14600.532419530497,10545.532419530497,6040.489094795033,128.61036898765542,67.93559578691254,75.027318438062,80.8824657903269,0.0
9,04:00,18920.0,665.5626704465931,3344.563620622197,4010.126291068791,6.875422448422832,4060.0,4253.237703421874,14902.998286482789,10842.998286482789,6589.760583060913,129.6694148989609,68.65514002943412,75.89800538848672,83.67100134784704,0.0
10,04:30,18708.0,633.1159535624143,3119.2174993222343,3752.333452884649,4.295263365068089,4058.0,3803.098002737209,14951.371283750284,10893.371283750284,7090.273281013074,131.1317088919579,69.97134317139356,76.23550276111138,81.91621402280755,0.0
11,05:00,18518.0,594.5144844383503,3117.830021427421,3712.344505865771,5.1774253568356094,4057.0,3671.173824913737,14800.478068777393,10743.478068777393,7072.304243863656,132.45046619132307,70.94066862341876,77.47861772914598,82.75598618366013,0.0
12,05:30,18226.0,547.7180333061273,2591.5697596769733,3139.2877929831006,4.931571066345358,4061.0,3470.972751224286,15081.780635950554,11020.780635950554,7549.807884726268,131.0515814324187,72.52106279923602,79.37998153969795,84.95425826290376,0.0
13,06:00,18585.0,534.7412902447134,2476.361643804618,3011.1029340493315,40.627462276228286,4061.0,3582.459459129652,15533.26960367444,11472.26960367444,7889.810144544788,129.44380913771548,73.1787428673624,81.67369265348673,86.44484209556062,0.0
14,06:30,18627.0,595.4922225597115,2840.559859626783,3436.0520821864943,576.8609246743017,4056.0,3879.306837664637,14614.086993139204,10558.086993139204,6678.780155474567,130.06364033809882,72.05715843507993,84.06999805593041,88.51092388405444,0.0
15,07:00,19493.0,602.2989249427761,3344.87791932165,3947.176844264426,1293.0567059610587,4058.0,4464.605915207055,14252.766449774515,10194.766449774515,5730.160534567461,131.34446005850785,72.30750481281474,84.68346837909674,90.81510250078624,0.0
16,07:30,19566.0,611.663639274413,3591.458840242456,4203.122479516868,2424.914178718707,4057.0,5275.309391702054,12937.963341764424,8880.963341764425,3605.653950062371,132.3132628501702,63.45515566343661,82.35184833175873,87.93837171387449,0.0
17,08:00,20309.0,646.746462168187,3596.1363800745053,4242.882842242692,3360.919151475728,4050.0,5969.013430156266,12705.19800628158,8655.19800628158,2686.1845761253144,130.43281986717255,66.08478068864602,80.0793076058096,86.11089311448592,0.0
18,08:30,20403.0,567.0396772065561,3261.4937887290284,3828.533465935584,4704.572214112409,4055.0,6094.738715132912,11869.894319952007,7814.894319952007,1720.155604819095,131.08590408384944,67.69293639691807,80.16847937835703,86.09975866228605,0.0
19,09:00,20502.0,538.5454608015986,2317.407572649064,2855.953033450662,5822.960905856249,4052.0,6221.02257913552,11823.08606069309,7771.086060693089,1550.0634815575695,132.15077218101248,68.77691975631893,80.68591424008292,87.16346673013564,0.0
20,09:30,20410.0,521.7090899697052,2338.8688615382457,2860.577951507951,7120.795494873302,4054.0,6348.624289537358,10428.626553618746,6374.626553618746,26.002264081387693,131.0514804753243,60.96013852565692,76.558195562128,82.51809187971237,0.0
21,10:00,19994.0,466.7098536665037,2213.281948398017,2679.991802064521,8188.403400039448,4054.0,6557.998209130007,9125.60479789603,5071.604797896031,-1486.3934112339766,130.93429886328713,55.84022034619304,74.52996283356386,81.43994481553773,0.0
22,10:30,19906.0,445.5926266130272,1967.4449372878207,2413.037563900848,8781.01557663073,4056.0,6438.966490486099,8711.946859468422,4655.946859468422,-1783.019631017677,130.7329664816496,57.35506386370605,74.74003988684875,82.96638513194183,0.0
23,11:00,19685.0,364.88010344683545,1639.2934471398514,2004.1735505866868,9594.43976818314,4054.0,6674.058607783844,8086.386681230173,4032.386681230173,-2641.6719265536717,131.07210891021,55.87203571936727,74.0236079211293,82.97893483349053,0.0
24,11:30,19201.0,367.66665467501736,1647.0897805631707,2014.756435238188,9643.546100455476,4062.0,6547.914671384229,7542.697464306335,3480.697464306335,-3067.2172070778943,133.7722686635875,53.82855899295566,72.19091110418299,81.18830434443893,0.0
25,12:00,19113.0,412.97387906755216,1741.004837973107,2153.978717040659,9766.496020482007,4061.0,6693.563341916324,7192.525262477335,3131.5252624773348,-3562.0380794389894,133.04029817775418,44.26014989770186,69.84632908619508,79.912436352183,0.0
26,12:30,18739.0,418.1296735335279,1534.043984206999,1952.173657740527,10046.614889700442,4070.0,6681.715712034482,6740.211452559031,2670.2114525590314,-4011.5042594754505,131.83534448951673,42.46664417058778,69.62157310820908,80.48168658852616,0.0
27,13:00,18061.0,441.4887108495445,1376.3536497738262,1817.8423606233707,10092.578685455825,4073.0,6659.195039863224,6150.578953920805,2077.5789539208054,-4581.616085942419,131.38552616251167,42.22846089387621,67.00350889713243,79.42365550485722,0.0
28,13:30,17977.0,442.2099694844634,1404.9919158390571,1847.2018853235204,9742.355577058808,4074.0,6965.692218458044,6387.442537617671,2313.4425376176714,-4652.249680840373,135.75622395844883,42.10316631558137,68.65845093328703,78.73103534297422,0.0
29,14:00,17991.0,449.94827821650506,1372.965220386525,1822.91349860303,8850.874706185761,4072.0,7002.701938081878,7317.211795211209,3245.2117952112094,-3757.490142870669,137.72246799500394,53.85104214250232,70.28008944424082,78.55485424313555,0.0
30,14:30,18378.0,440.4269395055835,1326.162870385194,1766.5898098907774,8188.336598040832,4071.0,7079.485069622454,8423.073592068391,4352.073592068391,-2727.411477554063,141.17152380762727,56.1500342377322,72.45933456508246,77.93903462107248,0.0
31,15:00,18952.0,410.0908694692005,1332.3460447980235,1742.436914267224,7695.433865604448,4071.0,7082.9425520672285,9514.129220128329,5443.129220128329,-1639.8133319389,139.92320378743798,60.973663129416686,72.50737313023461,78.959364090109,0.0
32,15:30,20284.0,458.3187281524497,1454.8224956268696,1913.1412237793195,6652.450187759286,4071.0,6832.935406684671,11718.408588461396,7647.408588461396,814.4731817767251,148.47741142500263,66.30653880104155,76.81988538023948,85.45877357111763,0.0
33,16:00,21471.0,459.0946227022309,1634.1336080314034,2093.228230733634,6061.244883030214,4069.0,6740.019686699745,13316.526886236152,9247.526886236152,2507.507199536407,154.7620407319859,69.2769921741285,79.7702496735254,87.80517505111375,0.0
34,16:30,22511.0,443.15526404819184,1698.96911889163,2142.1243829398218,5488.663650388302,4068.0,6507.000821885097,14880.211966671875,10812.211966671875,4305.211144786778,161.88244024147622,74.72562150987737,84.8587523350426,94.83765929849116,0.0
35,17:00,23342.0,439.26624367588187,1748.1592282623133,2187.425471938195,4616.98806587342,4069.0,6245.609326590326,16537.586462188385,12468.586462188385,6222.977135598058,168.66079601761166,80.53439034457512,89.95055867304981,100.9449648190345,0.0
36,17:30,24729.0,430.39928185257895,1854.5441635209584,2284.943445373537,3562.7057621008785,4063.0,5955.65731819233,18881.350792525584,14818.350792525584,8862.693474333253,173.43581663950803,86.89589774975204,97.18425076673684,106.74330062665966,0.0
37,18:00,26075.0,432.483874295356,2139.5071836393067,2571.991057934663,2638.6669606744777,4061.0,5957.073107773044,20864.34198139086,16803.34198139086,10846.268873617812,175.77517594085725,91.99886063499046,101.84899575890796,110.1491548855565,0.0
38,18:30,26563.0,466.0834976561275,2156.2494307042293,2622.332928360357,1715.856494453747,4062.0,5452.370159441459,22224.810577185897,18162.810577185897,12710.440417744438,189.2427926716185,97.35692007846193,108.5233450371504,116.0501558949757,0.0
39,19:00,26449.0,560.2622032939262,2338.051245094528,2898.313448388454,1027.887145226503,4060.0,5040.206807116949,22522.79940638504,18462.79940638504,13422.592599268091,189.8906910004173,102.55599844075036,112.60459254525873,123.35373026901875,0.0
40,19:30,26490.0,530.1334815995749,1882.4590820184155,2412.59256361799,500.8236505461426,4059.0,5511.550253274945,23576.58378583587,19517.58378583587,14006.033532560925,188.80129520471135,103.0729847970868,112.0705044800916,120.86754095869335,0.0
