settlement_period,gb_time,demand_mw,embedded_wind_mw,transmission_wind_mw,total_wind_mw,solar_mw,nuclear_mw,net_import_mw,residual_before_nuclear_mw,residual_after_nuclear_mw,net_system_short_mw,inertia_gvas,price_p10_gbp_mwh,price_p50_gbp_mwh,price_p90_gbp_mwh,negative_price_probability
1,00:00,21529.0,1456.4687894376225,6914.839094080982,8371.307883518604,0.3033906599023571,3274.0,3909.026505184309,13157.388725821493,9883.388725821493,5974.362220637184,126.69100126856698,62.28990714725148,77.9024503811707,85.39185533681088,0.0
2,00:30,21166.0,1430.015310446684,6862.1945457835045,8292.209856230189,1.3771787195007692,3277.0,4045.378806985872,12872.412965050313,9595.412965050313,5550.03415806444,124.95161383933382,59.28409333227744,75.41771272694444,84.93173589039007,0.0
3,01:00,20868.0,1395.4122962341432,6759.255144485434,8154.667440719578,6.660184117463208,3282.0,4275.835072559272,12706.672375162958,9424.672375162958,5148.837302603686,124.41668754157192,56.644240748293775,72.98335723846169,84.06511722318442,0.0
4,01:30,20454.0,1391.424069710589,7041.729799343123,8433.153869053713,6.944775485251471,3289.0,4069.217244796256,12013.901355461036,8724.901355461036,4655.684110664779,122.08892656845158,48.95612496946491,67.77558354514841,79.77338955957836,0.0
5,02:00,20189.0,1550.6827945996065,6884.452678818605,8435.135473418211,8.70177929173908,3291.0,4077.38961075647,11745.162747290047,8454.162747290049,4376.7731365335785,118.47151384730944,46.5684051407831,66.42163647160345,79.56304764271039,0.0
6,02:30,19843.0,1485.2511151247315,6492.843765096237,7978.094880220969,6.371969853374365,3295.0,4400.495504279381,11858.533149925655,8563.533149925657,4163.037645646276,117.8340921082318,46.26905259817847,65.25102744965126,78.9876336214037,0.0
7,03:00,19965.0,1307.2326207696524,5977.79833456511,7285.030955334762,6.017232911979714,3298.0,4271.516952311425,12673.951811753255,9375.951811753255,5104.4348594418325,117.4455838428414,55.61406673156805,69.5833956483277,80.10987052564968,0.0
8,03:30,19539.0,1361.9562234224654,5780.249436769152,7142.205660191617,3.86445790166404,3304.0,4199.517079265888,12392.92988190672,9088.92988190672,4889.412802640831,115.30458297588986,53.15013368340923,67.83999305049741,79.32910727255472,0.0
9,04:00,19139.0,1408.6009200162298,5331.849894138427,6740.450814154657,8.76350045760989,3314.0,3985.599398022435,12389.785685387737,9075.785685387737,5090.1862873653,115.6033979742679,47.520895469758415,66.15403440739286,77.73234642242369,0.0
10,04:30,18872.0,1382.0954353407456,5496.10775451475,6878.203189855496,8.467066250628259,3322.0,3597.2776146302363,11985.329743893875,8663.329743893875,5066.052129263639,116.68500292170638,49.04199328884002,68.61041757851193,78.35948961572426,0.0
11,05:00,18557.0,1295.9465152826788,5283.317299253276,6579.263814535955,13.697151730840725,3328.0,3232.4695625606587,11964.039033733205,8636.039033733203,5403.569471172545,118.69565224343984,53.6264902850445,72.93267120187699,82.7028136724158,0.0
12,05:30,18279.0,1296.580157502301,5396.88967526024,6693.469832762541,54.73903780064836,3337.0,3338.263252232696,11530.79112943681,8193.79112943681,4855.527877204115,121.15582179215131,53.13329178977847,74.68541716287146,86.52796665254877,0.0
13,06:00,18948.0,1345.1991528792544,5313.260810416875,6658.459963296129,205.21978928169517,3339.0,3645.126617826652,12084.320247422176,8745.320247422176,5100.193629595525,119.45863241330474,54.41974376256455,75.12209909793356,88.01098233787745,0.0
14,06:30,19019.0,1216.180286909313,5316.963722274141,6533.144009183454,953.8774322654054,3333.0,4363.152725056946,11531.978558551142,8198.978558551142,3835.825833494196,119.9940965501925,48.56730534808112,74.63950118769,87.85899451921291,0.0
15,07:00,19420.0,1198.4112078419485,5032.884485489745,6231.295693331694,1744.9054707686616,3337.0,5383.484587357949,11443.798835899644,8106.7988358996445,2723.314248541696,122.69040763032488,49.434380789595096,74.14098897159428,87.19510239379107,0.0
16,07:30,18923.0,986.6935940047468,4961.560781307768,5948.254375312515,2608.885170028288,3329.0,6022.855930746636,10365.860454659198,7036.860454659198,1014.004523912562,123.6153883579494,40.58931330758482,67.63178507251916,83.68509117708754,0.0
17,08:00,18764.0,952.612329396542,4528.06053361775,5480.672863014292,3524.5108743751016,3332.0,6591.480307220007,9758.816262610606,6426.816262610606,-164.66404460940066,124.14825725444996,41.30257631959052,68.8476623664302,82.40025948018655,0.0
18,08:30,17997.0,990.8959180669992,4717.6037454516645,5708.499663518664,4814.910684200801,3334.0,6547.341018729198,7473.589652280534,4139.589652280534,-2407.751366448664,129.04351384204992,45.77448013640363,67.16379859940793,77.84077126697149,0.0
19,09:00,17346.0,994.4809451772836,4804.772453289554,5799.253398466837,6053.148999413138,3332.0,6850.231445719068,5493.597602120026,2161.597602120026,-4688.633843599042,129.70072337043777,30.261007642350908,57.570968741943005,73.09694300910428,0.0
20,09:30,16579.0,842.8573714333011,4646.23178963785,5489.089161071152,7135.646768726274,3337.0,7285.007907758722,3954.264070202575,617.2640702025747,-6667.743837556148,124.29239079389906,20.6215465461618,46.84447774270457,67.06682244352955,0.0
21,10:00,16037.0,940.9025496807458,4531.18385011041,5472.0863997911565,7768.690693464612,3339.0,7106.986857348637,2796.2229067442318,-542.7770932557687,-7649.763950604406,129.82227155968852,17.5388957496792,41.45519326805234,62.889667043509085,0.0
22,10:30,15947.0,986.1611396259927,4668.490145696457,5654.65128532245,8521.654984515255,3337.0,7033.509472388916,1770.6937301622947,-1566.3062698377053,-8599.815742226621,125.18251610219475,16.313222976384132,36.27269614080205,61.49925889534622,0.0
23,11:00,15778.0,1049.459574526486,4629.0671311251945,5678.5267056516805,8979.733875226264,3342.0,6827.600158214144,1119.7394191220556,-2222.2605808779444,-9049.860739092088,123.14683474735132,15.234466862284958,31.840248835746443,60.56126791869626,0.0
24,11:30,15570.0,1385.5510522173872,4985.126029271698,6370.677081489085,9545.01417669835,3343.0,6526.864272269008,-345.69125818743487,-3688.691258187435,-10215.555530456444,119.48942307837362,7.6826501160824705,21.70416593053526,46.61947144752232,0.0
25,12:00,15379.0,1943.0054900339185,5654.136311640874,7597.141801674792,9741.956410309438,3345.0,5408.817144203019,-1960.09821198423,-5305.09821198423,-10713.915356187248,115.9661883828533,2.466574955899211,13.798567477584482,31.03016798460184,0.05
26,12:30,15011.0,1945.046116182549,5463.853066175843,7408.899182358392,10167.504633152626,3356.0,5751.882117930623,-2565.403815511017,-5921.4038155110175,-11673.28593344164,116.78007364471428,4.299381353202195,15.113393030758528,30.485194006256123,0.006
27,13:00,14608.0,1624.5383014726715,4982.083503560505,6606.621805033176,9764.55197942839,3361.0,6045.340961626006,-1763.1737844615673,-5124.173784461567,-11169.514746087574,120.202600745903,7.9173643484809295,19.70305356055427,38.35045092949838,0.001
28,13:30,14358.0,2073.249427167069,5945.407121247688,8018.656548414758,9601.187903890195,3364.0,5669.2992737229815,-3261.8444523049548,-6625.844452304955,-12295.143726027936,123.54299840459852,3.774162630200697,14.732247082471602,25.92521280926738,0.016
29,14:00,14011.0,2254.8453659833267,6924.886403138253,9179.73176912158,9347.216099389258,3368.0,5513.095896018867,-4515.947868510837,-7883.947868510837,-13397.043764529704,122.69386389895018,2.652613301017337,11.486709443929223,22.744863072387812,0.037
30,14:30,14223.0,2318.454100499141,6932.11730962156,9250.5714101207,9219.178552474636,3371.0,5333.711369352081,-4246.749962595339,-7617.749962595339,-12951.46133194742,130.28120448488835,4.08889692447907,11.918773640211924,24.690448208457365,0.0
31,15:00,14081.0,1903.6501768887183,6641.456091758617,8545.106268647336,9020.678638300462,3374.0,5229.310658817826,-3484.784906947796,-6858.784906947796,-12088.095565765623,129.55359125382125,5.738051886664017,16.445964780625623,29.19191599492681,0.0
32,15:30,14566.0,1909.349106295333,7123.687815101212,9033.036921396544,8369.24741119874,3372.0,4938.217322102239,-2836.2843325952854,-6208.284332595285,-11146.501654697524,133.20193039878282,6.7869670393387285,17.74909828449244,33.60267852647438,0.0
33,16:00,15294.0,1939.976015592826,7025.919498242215,8965.895513835041,7516.988117895282,3372.0,4570.363693303551,-1188.8836317303212,-4560.883631730321,-9131.247325033872,136.5308921077873,13.377915147009208,26.585721778732875,50.43340323122101,0.0
34,16:30,16912.0,2309.323522644475,8328.082740376303,10637.406263020775,6617.325474719239,3373.0,3734.938659423804,-342.7317377400177,-3715.7317377400177,-7450.670397163822,143.8825668569022,14.422244963589426,27.85873901177134,55.386085112684015,0.0
35,17:00,18480.0,2600.9947366986025,9285.958987195858,11886.95372389446,5498.025488489035,3367.0,3294.5862752177127,1095.020787616504,-2271.979212383496,-5566.565487601209,150.93691255701123,17.012714932571583,32.92287553630627,58.43174763761533,0.0
36,17:30,19844.0,2437.32757486385,9954.190077043248,12391.517651907096,4510.768555840387,3366.0,3315.906905220673,2941.7137922525144,-424.2862077474856,-3740.1931129681584,153.51820978512458,22.33418138211932,45.67261318921516,63.709154494881545,0.0
37,18:00,21016.0,2448.949491350083,10284.961569166342,12733.911060516424,3045.451069842568,3363.0,3423.376715440236,5236.637869641008,1873.6378696410084,-1549.738845799227,153.9546706991084,29.652256752278888,53.415769746507415,77.86361088501997,0.0
38,18:30,22253.0,2209.2380143110263,9326.272726352854,11535.51074066388,2580.9885473614336,3362.0,3232.069614138886,8136.500711974686,4774.500711974686,1542.4310978357998,157.8105325215613,47.58065046970439,75.5809726337801,97.49124924394012,0.0
39,19:00,23100.0,2125.1899066004707,9223.303730362002,11348.493636962474,1985.057368035912,3364.0,3705.912207210353,9766.448995001614,6402.448995001614,2696.536787791261,156.1492637282584,52.94436350401208,83.02768338597966,99.63774034062445,0.0
40,19:30,23216.0,2000.910245485236,9421.70203675412,11422.612282239355,1166.0274115070467,3361.0,3434.2542221534977,10627.3603062536,7266.3603062535985,3832.106084100101,155.99528547479198,42.52257074824875,83.5089160197282,95.83459044375252,0.0
41,20:00,23925.0,1810.884672444285,9538.539213053517,11349.4238854978,696.5517470489959,3356.0,3988.888079125911,11879.024367453205,8523.024367453205,4534.136288327294,155.4672008864552,60.92415976709698,86.63421086558054,97.92055433094345,0.0
42,20:30,24232.0,1662.0273857911675,8677.462652619586,10339.490038410751,311.20283700199474,3354.0,4207.377594089516,13581.307124587252,10227.307124587252,6019.929530497737,158.5750421807963,71.39356463475468,90.3569015557732,98.75237393866485,0.0
43,21:00,23884.0,1609.7884358375327,8667.8194496276,10277.607885465131,0.0,3355.0,4673.600466474814,13606.392114534869,10251.392114534869,5577.791648060054,160.38784615713786,70.03552098064448,86.75760916058564,94.13912119446012,0.0
44,21:30,23671.0,1461.5982255223846,8227.90286865668,9689.501094179064,0.0,3362.0,4783.8314310450605,13981.498905820936,10619.498905820936,5835.667474775875,160.9178978312565,70.42239076317978,83.32970475288974,89.27722431800021,0.0
45,22:00,23555.0,1529.2984029057625,8376.59582014214,9905.894223047902,0.0,3362.0,3869.238568501955,13649.105776952098,10287.105776952098,6417.867208450143,162.94474982763018,68.4734624084922,79.21257358312631,84.58524620108942,0.0
46,22:30,22736.0,1258.5141844558427,8106.506897685535,9365.021082141377,0.0,3364.0,3898.012010705791,13370.978917858623,10006.978917858623,6108.966907152833,153.78228640749384,63.67228040336474,79.29866737166938,84.64238447966562,0.0
47,23:00,21971.0,1248.5688317595614,7972.190632422501,9220.75946418206,0.0,3364.0,3684.8824873582935,12750.24053581794,9386.24053581794,5701.358048459645,150.7209929235822,61.08185218644801,74.97333961465941,80.09825828698295,0.0
48,23:30,21289.0,1228.441201838852,8173.756810597282,9402.198012436134,0.0,3365.0,3482.2270348664933,11886.801987563866,8521.801987563866,5039.574952697372,146.071040730604,55.22761180850855,73.51722532775518,79.44152482575004,0.0
