settlement_period,gb_time,demand_mw,embedded_wind_mw,transmission_wind_mw,total_wind_mw,solar_mw,nuclear_mw,net_import_mw,residual_before_nuclear_mw,residual_after_nuclear_mw,net_system_short_mw,inertia_gvas,price_p10_gbp_mwh,price_p50_gbp_mwh,price_p90_gbp_mwh,negative_price_probability
1,00:00,19613.0,2191.2525180465504,7080.831722458232,9272.084240504782,8.696334739483024,3336.0,2333.556813620305,10332.219424755736,6996.219424755735,4662.662611135429,142.2317837440813,42.83073183511833,75.31674297311216,82.98108560055256,0.0
2,00:30,19263.0,2051.728699391764,6834.427225420591,8886.155924812354,2.057435511056174,3335.0,2575.1809539372234,10374.78663967659,7039.786639676589,4464.605685739366,139.0081026193674,41.83071959485185,73.88651004044112,83.68250654090251,0.0
3,01:00,18913.0,1969.355301266883,6891.1054244968645,8860.460725763747,5.265223464200642,3329.0,2782.441983992595,10047.274050772052,6718.274050772052,3935.832066779457,136.75257443489937,40.63027051497978,71.78466068549345,81.78808238528728,0.0
4,01:30,18830.0,2054.829609794652,6928.625936809824,8983.455546604477,6.173411574433172,3332.0,2922.9700048713457,9840.37104182109,6508.37104182109,3585.4010369497446,136.25947788567296,40.33903429777002,70.84348329132916,81.44570374091607,0.0
5,02:00,18566.0,2105.817949978044,6981.745346299034,9087.563296277078,8.62443672587174,3335.0,3097.3013297884672,9469.81226699705,6134.812266997051,3037.5109372085835,133.38946724253026,42.21925911856801,69.79026101958799,81.07781610212021,0.0
6,02:30,17758.0,2054.048572810961,6898.249416418714,8952.297989229675,5.998257358205231,3334.0,3324.424309695964,8799.70375341212,5465.703753412119,2141.279443716155,130.77565551381693,42.06058121994067,66.7445817440533,79.52170144923629,0.0
7,03:00,17511.0,1997.9018232292883,6774.765718661774,8772.667541891064,5.903774582945239,3331.0,3118.982187375658,8732.428683525992,5401.428683525992,2282.4464961503336,131.1916588142661,42.645716446066665,68.53532814039144,79.6764836373624,0.0
8,03:30,17283.0,1872.9365973715103,6625.821541898757,8498.758139270267,3.525338254525381,3331.0,3243.925550446007,8780.716522475208,5449.716522475208,2205.790972029201,130.69699333819804,41.08797572935197,66.7007869140195,78.32209103594997,0.0
9,04:00,17029.0,1872.0163879147551,6656.629308717811,8528.645696632566,7.493200574670504,3331.0,2793.6306985426127,8492.861102792764,5161.861102792764,2368.230404250151,132.73218420067548,44.31846016127885,68.88584802758794,80.79396010557626,0.0
10,04:30,16746.0,2003.1064931444616,7519.672429842325,9522.778922986789,5.091253838031764,3331.0,2200.571764932989,7218.129823175181,3887.1298231751807,1686.5580582421912,133.39060887209436,39.64314972048837,64.1570323339756,78.46098779208407,0.0
11,05:00,16456.0,2257.320768059972,8140.5572534131215,10397.878021473094,4.078258939476092,3333.0,2054.0199590074044,6054.043719587429,2721.043719587429,667.0237605800248,134.26663839203343,40.60828057720742,53.9308440529274,78.37011683786366,0.0
12,05:30,16077.0,2360.9438181860864,8343.822495920955,10704.76631410704,5.095524246588637,3337.0,1840.9307063336084,5367.138161646371,2030.1381616463716,189.20745531276293,131.6012674435962,42.68146770239303,53.896911089731454,79.94503355612797,0.0
13,06:00,16923.0,2548.8077508914635,8786.699682833123,11335.507433724586,12.09994040848553,3336.0,1249.1946979457496,5575.392625866929,2239.392625866929,990.1979279211794,130.43466606847545,47.443894191046574,56.25042231006897,80.8066212585176,0.0
