model_version,issue_time_utc,delivery_date,github_run_id,github_run_attempt,monte_carlo_scenarios,position_mwh,confidence_level,period_count,p50_daily_min_gbp_mwh,p50_daily_max_gbp_mwh,p50_daily_mean_gbp_mwh,probability_any_negative_period,scenario_var_gbp,expected_shortfall_gbp,worst_loss_gbp,best_profit_gbp,report_path
core-12m-operational-v1,2026-08-02T00:39:46Z,2026-08-03,30725613899,1,1000,100.0,0.95,48,30.696473610870704,113.3314451356204,73.59496572701165,0.026,20313.966283951027,22333.765889563976,27527.734927620608,2550.34650816012,live/reports/2026-08-03/run-30725613899-attempt-1.json
core-12m-operational-v1,2026-08-03T00:48:44Z,2026-08-04,30775344272,1,1000,100.0,0.95,48,44.35193088916153,94.88245287526084,70.83303074474814,0.001,15821.866019214016,17843.039458770618,21756.03825236512,2445.702426587339,live/reports/2026-08-04/run-30775344272-attempt-1.json
core-12m-operational-v1,2026-08-04T13:27:49Z,2026-08-05,30913916966,1,1000,100.0,0.95,48,39.74892071014165,95.26765993841994,69.08552555350536,0.207,26440.8670892549,28375.667177552696,32890.36054720413,-498.3102036538926,live/reports/2026-08-05/run-30913916966-attempt-1.json
core-12m-operational-v1,2026-08-05T13:26:45Z,2026-08-06,31010212046,1,1000,100.0,0.95,48,28.81694882007653,105.95108924191184,59.51263628877302,0.117,15979.3824039742,18170.11657152897,23789.13738690652,4619.599049243468,live/reports/2026-08-06/run-31010212046-attempt-1.json
core-12m-operational-v1,2026-08-06T13:24:37Z,2026-08-07,31105757929,1,1000,100.0,0.95,48,37.65998261069138,97.1657634036614,70.20438542915979,0.0,13846.5231689867,15304.527630415856,18288.493351200697,2304.3009035412515,live/reports/2026-08-07/run-31105757929-attempt-1.json
core-12m-operational-v1,2026-08-07T12:37:14Z,2026-08-08,31178584687,1,1000,100.0,0.95,48,11.486709443929223,90.3569015557732,56.50817945109386,0.107,15407.932027358567,17904.822690063775,22119.01642710432,7037.747176840286,live/reports/2026-08-08/run-31178584687-attempt-1.json
core-12m-operational-v1,2026-08-08T12:16:55Z,2026-08-09,31256870964,1,1000,100.0,0.95,48,13.24959324226672,113.015014259736,66.9283358083468,0.208,15981.9656217536,18008.07848057664,22269.657465772885,6218.358484866509,live/reports/2026-08-09/run-31256870964-attempt-1.json
core-12m-operational-v1,2026-08-09T12:19:05Z,2026-08-10,31312975057,1,1000,100.0,0.95,48,64.14886034165838,116.0042000081924,83.87738381233328,0.0,15585.86491550004,17098.762350128076,20939.023320726126,788.8706273380159,live/reports/2026-08-10/run-31312975057-attempt-1.json
core-12m-operational-v1,2026-08-10T12:35:09Z,2026-08-11,31388702038,1,1000,100.0,0.95,48,65.40423501751687,101.91291750159944,83.93423688745732,0.0,4071.852970678524,5153.452952043458,7197.3944261588185,8316.190255283302,live/reports/2026-08-11/run-31388702038-attempt-1.json
core-12m-operational-v1,2026-08-11T12:31:42Z,2026-08-12,31491645265,1,1000,100.0,0.95,48,50.24071304471556,121.79969931636,80.9687344830621,0.0,5172.511897563042,6758.053249354191,10876.00337702526,11022.069698638465,live/reports/2026-08-12/run-31491645265-attempt-1.json
core-12m-operational-v1,2026-08-12T12:35:30Z,2026-08-13,31597165444,1,1000,100.0,0.95,48,72.56195823042805,138.5215700550006,90.74682440615408,0.0,2564.5265289288027,3628.5828699539857,8296.13234407047,11883.549451053736,live/reports/2026-08-13/run-31597165444-attempt-1.json
core-12m-operational-v1,2026-08-13T12:35:51Z,2026-08-14,31700778878,1,1000,100.0,0.95,48,50.6202947981248,119.08684609140902,80.67389419907772,0.0,4164.904332871937,5232.74698237894,8818.208655540984,9621.955685484158,live/reports/2026-08-14/run-31700778878-attempt-1.json
