delivery_time_utc,actual_price,actual_revision
2026-08-01T22:30:00Z,147.45,initial
2026-08-01T23:00:00Z,142.07,initial
2026-08-01T23:30:00Z,142.78,initial
2026-08-02T00:00:00Z,139.81,initial
2026-08-02T00:30:00Z,140.44,initial
2026-08-02T01:00:00Z,139.2,initial
2026-08-02T01:30:00Z,135.02,initial
2026-08-02T02:00:00Z,137.96,initial
2026-08-02T02:30:00Z,136.17,initial
2026-08-02T03:00:00Z,139.26,initial
2026-08-02T03:30:00Z,139.81,initial
2026-08-02T04:00:00Z,135.02,initial
2026-08-02T04:30:00Z,136.59,initial
2026-08-02T05:00:00Z,127.26,initial
2026-08-02T05:30:00Z,138.91,initial
2026-08-02T06:00:00Z,128.82,initial
2026-08-02T06:30:00Z,130.33,initial
2026-08-02T07:00:00Z,133.02,initial
2026-08-02T07:30:00Z,124.54,initial
2026-08-02T08:00:00Z,124.12,initial
2026-08-02T08:30:00Z,121.96,initial
2026-08-02T09:00:00Z,117.96,initial
2026-08-02T09:30:00Z,112.13,initial
2026-08-02T10:00:00Z,116.54,initial
2026-08-02T10:30:00Z,102.68,initial
2026-08-02T11:00:00Z,105.48,initial
2026-08-02T11:30:00Z,110.02,initial
2026-08-02T12:00:00Z,106.88,initial
2026-08-02T12:30:00Z,110.5,initial
2026-08-02T13:00:00Z,108.96,initial
2026-08-02T13:30:00Z,115.89,initial
2026-08-02T14:00:00Z,124.57,initial
2026-08-02T14:30:00Z,130.4,initial
2026-08-02T15:00:00Z,122.66,initial
2026-08-02T15:30:00Z,121.7,initial
2026-08-02T16:00:00Z,123.71,initial
2026-08-02T16:30:00Z,137.16,initial
2026-08-02T17:00:00Z,148.64,initial
2026-08-02T17:30:00Z,144.31,initial
2026-08-02T18:00:00Z,155.78,initial
2026-08-02T18:30:00Z,151.98,initial
2026-08-02T19:00:00Z,152.65,initial
2026-08-02T19:30:00Z,153.71,initial
2026-08-02T20:00:00Z,152.74,initial
2026-08-02T20:30:00Z,149.2,initial
2026-08-02T21:00:00Z,141.11,initial
2026-08-02T21:30:00Z,130.83,initial
2026-08-02T22:00:00Z,118.53,initial
2026-08-02T22:30:00Z,114.52,initial
2026-08-02T23:00:00Z,115.76,initial
2026-08-02T23:30:00Z,115.87,initial
2026-08-03T00:00:00Z,112.67,initial
2026-08-03T00:30:00Z,115.05,initial
2026-08-03T01:00:00Z,113.03,initial
2026-08-03T01:30:00Z,113.11,initial
2026-08-03T02:00:00Z,115.88,initial
2026-08-03T02:30:00Z,113.53,initial
2026-08-03T03:00:00Z,121.19,initial
2026-08-03T03:30:00Z,117.14,initial
2026-08-03T04:00:00Z,134.66,initial
2026-08-03T04:30:00Z,136.09,initial
2026-08-03T05:00:00Z,138.69,initial
2026-08-03T05:30:00Z,151.78,initial
2026-08-03T06:00:00Z,130.78,initial
2026-08-03T06:30:00Z,133.82,initial
2026-08-03T07:00:00Z,126.78,initial
2026-08-03T07:30:00Z,128.76,initial
2026-08-03T08:00:00Z,130.56,initial
2026-08-03T08:30:00Z,131.8,initial
2026-08-03T09:00:00Z,130.02,initial
2026-08-03T09:30:00Z,122.14,initial
2026-08-03T10:00:00Z,111.27,initial
2026-08-03T10:30:00Z,104.2,initial
2026-08-03T11:00:00Z,102.47,initial
2026-08-03T11:30:00Z,103.8,initial
2026-08-03T12:00:00Z,98.09,initial
2026-08-03T12:30:00Z,93.72,initial
2026-08-03T13:00:00Z,99.92,initial
2026-08-03T13:30:00Z,98.54,initial
2026-08-03T14:00:00Z,106.42,initial
2026-08-03T14:30:00Z,111.42,initial
2026-08-03T15:00:00Z,126.12,initial
2026-08-03T15:30:00Z,119.51,initial
2026-08-03T16:00:00Z,121.15,initial
2026-08-03T16:30:00Z,130.1,initial
2026-08-03T17:00:00Z,146.59,initial
2026-08-03T17:30:00Z,150.84,initial
2026-08-03T18:00:00Z,154.36,initial
2026-08-03T18:30:00Z,156.48,initial
2026-08-03T19:00:00Z,154.34,initial
2026-08-03T19:30:00Z,153.28,initial
2026-08-03T20:00:00Z,151.24,initial
2026-08-03T20:30:00Z,146.99,initial
2026-08-03T21:00:00Z,140.9,initial
2026-08-03T21:30:00Z,133.06,initial
2026-08-03T22:00:00Z,135.41,initial
2026-08-03T22:30:00Z,135.24,initial
2026-08-03T23:00:00Z,135.0,initial
2026-08-03T23:30:00Z,127.2,initial
2026-08-04T00:00:00Z,114.51,initial
2026-08-04T00:30:00Z,113.48,initial
2026-08-04T01:00:00Z,113.08,initial
2026-08-04T01:30:00Z,113.51,initial
2026-08-04T02:00:00Z,119.35,initial
2026-08-04T02:30:00Z,117.27,initial
2026-08-04T03:00:00Z,117.11,initial
2026-08-04T03:30:00Z,118.11,initial
2026-08-04T04:00:00Z,125.85,initial
2026-08-04T04:30:00Z,131.09,initial
2026-08-04T05:00:00Z,133.59,initial
2026-08-04T05:30:00Z,141.43,initial
2026-08-04T06:00:00Z,125.64,initial
2026-08-04T06:30:00Z,132.86,initial
2026-08-04T07:00:00Z,109.26,initial
2026-08-04T07:30:00Z,118.31,initial
2026-08-04T08:00:00Z,104.14,initial
2026-08-04T08:30:00Z,106.14,initial
2026-08-04T09:00:00Z,107.33,initial
2026-08-04T09:30:00Z,105.22,initial
2026-08-04T10:00:00Z,100.64,initial
2026-08-04T10:30:00Z,100.25,initial
2026-08-04T11:00:00Z,99.99,initial
2026-08-04T11:30:00Z,102.47,initial
2026-08-04T12:00:00Z,97.5,initial
2026-08-04T12:30:00Z,95.09,initial
2026-08-04T13:00:00Z,100.34,initial
2026-08-04T13:30:00Z,99.03,initial
2026-08-04T14:00:00Z,117.82,initial
2026-08-04T14:30:00Z,116.03,initial
2026-08-04T15:00:00Z,119.59,initial
2026-08-04T15:30:00Z,112.63,initial
2026-08-04T16:00:00Z,114.65,initial
2026-08-04T16:30:00Z,113.5,initial
2026-08-04T17:00:00Z,114.69,initial
2026-08-04T17:30:00Z,118.61,initial
2026-08-04T18:00:00Z,153.86,initial
2026-08-04T18:30:00Z,153.42,initial
2026-08-04T19:00:00Z,153.82,initial
2026-08-04T19:30:00Z,151.8,initial
2026-08-04T20:00:00Z,149.93,initial
2026-08-04T20:30:00Z,141.68,initial
2026-08-04T21:00:00Z,133.18,initial
2026-08-04T21:30:00Z,120.73,initial
2026-08-04T22:00:00Z,125.02,initial
2026-08-04T22:30:00Z,127.23,initial
2026-08-04T23:00:00Z,130.48,initial
2026-08-04T23:30:00Z,132.6,initial
2026-08-05T00:00:00Z,123.34,initial
2026-08-05T00:30:00Z,127.38,initial
2026-08-05T01:00:00Z,125.82,initial
2026-08-05T01:30:00Z,123.35,initial
2026-08-05T02:00:00Z,122.23,initial
2026-08-05T02:30:00Z,120.52,initial
2026-08-05T03:00:00Z,125.48,initial
2026-08-05T03:30:00Z,118.3,initial
2026-08-05T04:00:00Z,118.89,initial
2026-08-05T04:30:00Z,110.36,initial
2026-08-05T05:00:00Z,98.23,initial
2026-08-05T05:30:00Z,100.2,initial
2026-08-05T06:00:00Z,97.18,initial
2026-08-05T06:30:00Z,101.34,initial
2026-08-05T07:00:00Z,99.13,initial
2026-08-05T07:30:00Z,107.86,initial
2026-08-05T08:00:00Z,48.4,initial
2026-08-05T08:30:00Z,64.49,initial
2026-08-05T09:00:00Z,55.51,initial
2026-08-05T09:30:00Z,37.39,initial
2026-08-05T10:00:00Z,26.78,initial
2026-08-05T10:30:00Z,20.94,initial
2026-08-05T11:00:00Z,15.27,initial
2026-08-05T11:30:00Z,12.0,initial
2026-08-05T12:00:00Z,11.91,initial
2026-08-05T12:30:00Z,10.79,initial
2026-08-05T13:00:00Z,9.21,initial
2026-08-05T13:30:00Z,3.83,initial
2026-08-05T14:00:00Z,5.62,initial
2026-08-05T14:30:00Z,2.84,initial
2026-08-05T15:00:00Z,7.15,initial
2026-08-05T15:30:00Z,12.07,initial
2026-08-05T16:00:00Z,75.45,initial
2026-08-05T16:30:00Z,78.65,initial
2026-08-05T17:00:00Z,101.52,initial
2026-08-05T17:30:00Z,110.73,initial
