model_version,issue_time_utc,delivery_time_utc,p10,p50,p90,point,negative_probability,forecast_id
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T10:30:00Z,17.15746127902962,32.875083199735414,57.02969601887521,31.88510022543366,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T10:30:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T11:00:00Z,13.92555428074917,24.69467582587607,46.73175742266204,26.15851202601361,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T11:00:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T11:30:00Z,12.481459992048588,23.55786686988897,46.644174522294094,23.39273709554445,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T11:30:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T12:00:00Z,10.6799375898266,21.485270843215023,46.13251394539526,21.02747991181442,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T12:00:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T12:30:00Z,8.607274903000498,20.00683022140521,45.56041377627475,19.57563472490453,0.001,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T12:30:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T13:00:00Z,9.598951716959682,22.305812160401445,47.921996242955366,21.070353455055876,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T13:00:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T13:30:00Z,15.12315603481184,24.868928924147184,54.46582037312576,22.78187719987921,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T13:30:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T14:00:00Z,15.069766743878438,41.56472445455243,57.243232270231104,40.10663387911375,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T14:00:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T14:30:00Z,19.7911585208862,47.65479809986915,60.7006272297858,51.68803116473646,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T14:30:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T15:00:00Z,20.813865781543328,49.97153133269198,60.71823328111658,54.17155142071142,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T15:00:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T15:30:00Z,40.48892428595166,58.76220531497496,73.4461412193123,60.12337580987257,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T15:30:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T16:00:00Z,56.09672768030382,69.17501220003751,84.06744274560974,72.9885264500035,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T16:00:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T16:30:00Z,60.75838157434857,80.27347382256131,89.9072386515837,84.68123526766496,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T16:30:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T17:00:00Z,66.88924079602337,85.15634251613511,93.41731449487902,89.48532415591825,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T17:00:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T17:30:00Z,70.48016592961201,88.89852375323531,98.74672459616264,91.20635118686164,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T17:30:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T18:00:00Z,78.55168434599636,94.64335168182284,105.02909955143934,98.06866568836034,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T18:00:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T18:30:00Z,82.91951922103163,96.22576879136868,106.83440462162348,99.37784855759236,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T18:30:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T19:00:00Z,87.79449497443579,98.75531703739712,109.40617121100829,103.75235300564124,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T19:00:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T19:30:00Z,86.31991355463546,96.95020937174245,107.0748382116778,102.85127572092894,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T19:30:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T20:00:00Z,81.56304941424438,89.41937303026373,97.78112953440352,91.14572016491417,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T20:00:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T20:30:00Z,79.3325095399819,87.66655361916935,97.01003511757511,88.67160066504152,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T20:30:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T21:00:00Z,77.98863756972462,86.61914260059842,95.41889559633483,88.68062920310818,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T21:00:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T21:30:00Z,76.27830450645338,86.35580412339286,94.95766878769896,87.34377165239395,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T21:30:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T22:00:00Z,72.4406239516495,82.64688027064079,90.43875586176496,84.21239644341966,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T22:00:00Z
core-12m-operational-v1,2026-07-31T13:35:38Z,2026-08-01T22:30:00Z,70.13649775852177,82.7388538982253,91.13672710487457,84.82907311502743,0.0,core-12m-operational-v1|2026-07-31T13:35:38Z|2026-08-01T22:30:00Z
