settlement_period,gb_time,demand_mw,embedded_wind_mw,transmission_wind_mw,total_wind_mw,solar_mw,nuclear_mw,net_import_mw,residual_before_nuclear_mw,residual_after_nuclear_mw,net_system_short_mw,inertia_gvas,price_p10_gbp_mwh,price_p50_gbp_mwh,price_p90_gbp_mwh,negative_price_probability
1,00:00,23086.0,3358.0126578801523,14326.947839745391,17684.960497625543,0.0,4953.0,-1553.9516087332142,5401.039502374457,448.0395023744568,2001.991111107671,118.26119303245868,-0.4595153709128188,19.209989501921456,44.0386125326918,0.109
2,00:30,22359.0,3595.8959944308026,14451.48460063261,18047.38059506341,0.0,4959.0,-1753.370763156095,4311.619404936588,-647.3805950634123,1105.990168092683,118.4495878033342,-3.0976054220573657,15.153040651525846,35.70020117558782,0.191
3,01:00,22376.0,3676.605422474057,14643.400508818351,18320.00593129241,0.3507058753563826,4966.0,-2002.836135371504,4055.6433628322375,-910.3566371677624,1092.479498203741,118.3925768148721,0.0399669653345217,14.875722795150276,35.26149596489968,0.099
4,01:30,21957.0,3561.1874840335645,14273.917736678395,17835.10522071196,1.8555823991340503,4966.0,-1872.709461223988,4120.039196888905,-845.9608031110947,1026.748658112893,118.8532668774032,-0.4398729762499995,16.45014362595967,35.40531268634062,0.11
5,02:00,21989.0,3482.062363850085,13983.332917590207,17465.39528144029,1.829934389241292,4968.0,-1438.2524256889672,4521.7747841704695,-446.2252158295305,992.0272098594368,118.0952162436238,1.7012353777454363,19.54220954946002,39.767327016066325,0.065
6,02:30,21341.0,3558.989467697686,13863.015063802828,17422.004531500515,1.78727244935692,4968.0,-1143.062327053731,3917.2081960501273,-1050.7918039498727,92.2705231038583,117.79490296902944,-2.8036667369151247,14.958796331675046,32.81457636118002,0.156
7,03:00,20752.0,3239.0489235635537,13764.092327313354,17003.141250876906,1.839863577587403,4975.0,-277.8935662051555,3747.018885545505,-1227.981114454495,-950.0875482493392,116.2264644242024,-5.610341084779866,7.826301847878396,30.61470971952488,0.253
8,03:30,20420.0,3391.465536221806,14410.841006334022,17802.306542555827,1.6327999912051547,4978.0,-769.0033258678071,2616.0606574529666,-2361.939342547033,-1592.9360166792262,117.99385613369968,-7.076452467496426,3.386763592951556,23.22058870919504,0.362
9,04:00,20433.0,3547.5577459592023,14541.666974166974,18089.224720126174,3.3363203560553742,4979.0,-1893.957254562744,2340.438959517767,-2638.561040482233,-744.6037859194889,119.1319544399028,-4.447736858552125,5.45544055602471,29.55196225065428,0.237
10,04:30,19893.0,3323.8655671891365,14354.608681127604,17678.474248316743,0.8034811950533111,4986.0,-1561.2036861445438,2213.722270488204,-2772.277729511796,-1211.074043367252,118.47277310195966,-2.8972875107165903,6.750722233891262,31.17228219216045,0.221
