settlement_period,gb_time,demand_mw,embedded_wind_mw,transmission_wind_mw,total_wind_mw,solar_mw,nuclear_mw,net_import_mw,residual_before_nuclear_mw,residual_after_nuclear_mw,net_system_short_mw,inertia_gvas,price_p10_gbp_mwh,price_p50_gbp_mwh,price_p90_gbp_mwh,negative_price_probability
1,00:00,21237.0,1677.8744799102271,7603.978536914603,9281.85301682483,1.0494213218450237,3368.0,3657.634711785804,11954.097561853325,8586.097561853325,4928.462850067521,141.998178005789,45.68287591152093,70.30693236351595,76.52919709637173,0.0
2,00:30,20827.0,1584.9886783760392,7547.096866140285,9132.085544516323,7.332360584641614,3371.0,4063.2288157017542,11687.582094899037,8316.582094899035,4253.35327919728,140.1388701691447,42.90855518539505,67.30853711773432,75.81585859008685,0.0
3,01:00,20494.0,1531.041374410924,7422.083779387929,8953.125153798854,14.08554509877806,3370.0,4072.568860980293,11526.789301102368,8156.789301102368,4084.220440122076,136.69544004664382,44.35826881564061,67.54399025999906,75.83374232695934,0.0
4,01:30,20121.0,1603.8454891926217,7423.765801144889,9027.61129033751,11.121046044752545,3371.0,4080.9773994186207,11082.267663617737,7711.267663617737,3630.290264199116,135.52845258309108,40.16962083034868,67.10422909274715,74.96033209752595,0.0
5,02:00,19776.0,1653.0051485772135,7299.802120968018,8952.807269545232,20.74536711492315,3372.0,3642.196950575413,10802.447363339845,7430.447363339845,3788.250412764432,132.86801535317383,40.62045472532768,71.18201175769903,80.02352271444832,0.0
6,02:30,19375.0,1434.939758294522,6902.073914847426,8337.013673141948,4.5164031997648255,3373.0,4109.7337615246615,11033.469923658287,7660.469923658287,3550.736162133626,130.86629249003389,40.59111806525759,68.42620504140712,78.0852743847882,0.0
7,03:00,18759.0,1403.2068247365132,6664.070175572078,8067.277000308592,4.134398359533849,3373.0,4030.969565525183,10687.588601331874,7314.588601331874,3283.619035806691,123.96641919057951,37.61851610256928,66.3500846589933,76.93906621238003,0.0
8,03:30,18609.0,1370.1930384110751,5902.802680234755,7272.9957186458305,6.033805890654998,3375.0,4268.544538098271,11329.970475463517,7954.970475463515,3686.425937365244,121.8843495535758,43.518316302826285,69.15586468003269,78.19388178590476,0.0
9,04:00,18299.0,1339.5753635327696,5592.153526865232,6931.728890398001,4.545557966373126,3371.0,3570.3884775715355,11362.725551635627,7991.725551635627,4421.337074064091,124.6906728559469,46.83107318250013,70.88551194260185,79.28654804651804,0.0
10,04:30,18092.0,1286.8029700925747,5526.38906000285,6813.192030095424,1.0786603997368298,3372.0,3375.1781679913324,11277.72930950484,7905.729309504839,4530.551141513506,123.73100014260514,46.29377166136144,70.49380890598019,77.98366440107871,0.0
11,05:00,17941.0,1227.6786160272422,5495.61403803395,6723.2926540611925,5.942688326273447,3370.0,3647.9116002820015,11211.764657612532,7841.764657612533,4193.8530573305325,124.81482941143736,48.94989445487657,70.98245914485271,79.50389861691778,0.0
12,05:30,17498.0,1237.0294458636693,5018.72212647109,6255.751572334759,47.91918991993175,3371.0,3530.570204888821,11194.32923774531,7823.329237745311,4292.759032856489,122.671649412279,50.57079662797478,73.71627516707736,83.39952877380416,0.0
13,06:00,17682.0,1338.2565523377802,4789.324405583778,6127.580957921558,180.3362039177289,3367.0,3494.8237513062286,11374.082838160712,8007.082838160713,4512.259086854485,118.38623293943716,51.18533191813985,72.78331073642028,83.71576109137948,0.0
14,06:30,17504.0,1355.334696719308,4736.012014880113,6091.346711599421,530.9364255306327,3365.0,3900.296645673274,10881.716862869947,7516.716862869947,3616.420217196673,120.09123613468276,46.82873608455934,74.47898524716737,86.09353561206099,0.0
15,07:00,17637.0,1363.934947090326,4866.452675801328,6230.387622891654,1426.3733380034328,3365.0,4613.263279235731,9980.239039104912,6615.239039104912,2001.9757598691813,123.27980903168168,41.38277140262287,70.06283455521977,85.26451057262723,0.0
16,07:30,17280.0,1159.5456693002898,4839.974111157291,5999.519780457581,2530.817645498115,3364.0,5879.973011984481,8749.662574044305,5385.662574044305,-494.3104379401757,123.65994648990826,35.7872415016897,62.325725237670525,80.7760505160578,0.0
17,08:00,17310.0,1009.8884025843636,4738.239251410242,5748.127653994606,3363.843398684267,3360.0,6651.416603503257,8198.028947321127,4838.028947321127,-1813.3876561821296,123.65960805054928,36.57797722758257,61.2786413475505,78.29712338130416,0.0
