settlement_period,gb_time,demand_mw,embedded_wind_mw,transmission_wind_mw,total_wind_mw,solar_mw,nuclear_mw,net_import_mw,residual_before_nuclear_mw,residual_after_nuclear_mw,net_system_short_mw,inertia_gvas,price_p10_gbp_mwh,price_p50_gbp_mwh,price_p90_gbp_mwh,negative_price_probability
1,00:00,21825.0,708.9026096603516,1548.1352138927157,2257.037823553067,7.276939869331896,4151.0,4593.501353401025,19560.6852365776,15409.6852365776,10816.183883176574,158.2387223848175,78.68394380412792,87.10709863261623,98.020624527384,0.0
2,00:30,21645.0,614.7251800851685,1292.9626385048675,1907.687818590036,1.505175910166055,4153.0,4669.421839999401,19735.8070054998,15582.8070054998,10913.385165500398,153.3396780874114,77.01543858192204,85.65035849847013,97.31035671782531,0.0
3,01:00,21357.0,569.5521455321777,1306.0331734163815,1875.5853189485592,4.767639809150708,4152.0,4994.8630167478295,19476.64704124229,15324.64704124229,10329.78402449446,151.30521182853877,77.74720012290653,85.0169682043748,96.85456313282292,0.0
4,01:30,21325.0,567.870505060372,1302.605597547942,1870.4761026083145,7.63106567727554,4152.0,4959.4585094733775,19446.89283171441,15294.89283171441,10335.434322241032,149.932325854382,77.64347984889231,85.34131871137473,95.57439124658366,0.0
5,02:00,21211.0,565.9870396854246,1191.5540373496387,1757.5410770350634,7.706853712520131,4157.0,4900.48026506032,19445.752069252416,15288.752069252416,10388.271804192096,152.53859896175277,77.52092071566767,85.29356486230478,95.53882741002484,0.0
6,02:30,21043.0,528.7616101968758,1051.1717722468138,1579.9333824436897,7.706853712520131,4161.0,4973.555145077458,19455.35976384379,15294.35976384379,10320.804618766331,150.81062288531504,78.49153134390565,86.36341318920353,99.05266215171112,0.0
7,03:00,20765.0,489.241381937659,930.341291986884,1419.582673924543,12.39311442334682,4159.0,4910.149978791018,19333.02421165211,15174.024211652111,10263.874232861092,154.22590244376534,78.79118398651904,85.86696244310511,98.51059104144008,0.0
8,03:30,20190.0,553.037392961655,1003.0896429298205,1556.127035891475,10.7155234291372,4164.0,4808.969675368074,18623.157440679388,14459.157440679388,9650.187765311315,154.2617548458555,79.38212087193642,84.86713682469392,97.49845943874148,0.0
9,04:00,19883.0,541.2686903073084,1060.8269122826005,1602.0956025899088,3.5747805186507007,4161.0,4011.48449749754,18277.32961689144,14116.329616891442,10104.845119393902,153.79230200299358,78.13951693499229,84.16723008203053,97.1996150547805,0.0
10,04:30,19637.0,614.3571507808747,1228.1061781188275,1842.4633288997024,5.079301058655452,4163.0,3565.315973111061,17789.457370041644,13626.457370041644,10061.141396930583,151.1908020193922,77.1291768499919,83.04082128317725,93.57419494905396,0.0
