metric,value,unit
Paper capital,500000.0,GBP
Daily VaR appetite,2.0,% capital
Daily risk budget,10000.0,GBP
Confidence level,95.0,%
Reference position,100.0,MWh
Scenario VaR,20313.966283951027,GBP
Expected Shortfall,22333.765889563976,GBP
Worst simulated loss,27527.734927620608,GBP
Best simulated profit,2550.3465081601194,GBP
VaR budget utilisation,203.13966283951027,%
ES budget utilisation,223.33765889563975,%
Maximum volume by VaR,49.22721570085731,MWh
Maximum volume by Expected Shortfall,44.77525218741885,MWh
Binding maximum permissible volume,44.77525218741885,MWh
