settlement_period,gb_time,demand_mw,embedded_wind_mw,transmission_wind_mw,total_wind_mw,solar_mw,nuclear_mw,net_import_mw,residual_before_nuclear_mw,residual_after_nuclear_mw,net_system_short_mw,inertia_gvas,price_p10_gbp_mwh,price_p50_gbp_mwh,price_p90_gbp_mwh,negative_price_probability
1,00:00,19841.0,1504.9425790049054,5821.205089319248,7326.1476683241535,0.9667590654761302,3340.0,3569.322998830261,12513.88557261037,9173.88557261037,5604.562573780109,151.4317732334353,51.41784434792496,76.33497127747827,81.86219177258788,0.0
2,00:30,19348.0,1600.0702298060153,5860.759632242029,7460.829862048044,5.410681021258706,3340.0,3599.6534363883293,11881.759456930697,8541.759456930697,4942.106020542367,151.47554586828903,41.0755548323194,75.55115386307506,81.70743404557714,0.0
3,01:00,18578.0,1785.9104424297125,6256.61733132354,8042.527773753252,9.663751916983236,3336.0,3541.3577720409626,10525.808474329764,7189.808474329764,3648.4507022888015,148.8960722505513,36.05369852341624,72.08754393737432,82.07613314685275,0.0
4,01:30,18595.0,1803.7314840110696,6408.943219481094,8212.674703492165,10.246421302941524,3335.0,3384.964391861751,10372.078875204894,7037.078875204894,3652.114483343143,144.0222607129195,36.91901705223282,73.88666041509924,83.08631411024865,0.0
5,02:00,17811.0,1909.311997703436,6647.214333537896,8556.526331241332,10.547001646342446,3337.0,2646.3288672390504,9243.926667112326,5906.926667112326,3260.597799873276,137.3385480113081,35.12320074230214,67.17346176818376,81.0776165381736,0.0
6,02:30,17492.0,1811.3201670338867,6689.084057488638,8500.404224522525,10.547001646342446,3337.0,2394.275853713074,8981.048773831133,5644.048773831133,3249.772920118059,138.2822251652566,35.35517122167913,66.2928590949432,80.74994901353577,0.0
7,03:00,17411.0,1804.3570702531852,6550.756284445514,8355.1133546987,11.155338126891465,3340.0,2171.9673202086733,9044.731307174408,5704.731307174408,3532.763986965735,137.8315130450405,35.97388958048219,65.89628000381062,79.62955888751382,0.0
8,03:30,16995.0,1894.2026554776185,6401.85653709987,8296.05919257749,10.219357448850635,3340.0,1837.1595988143183,8688.72144997366,5348.72144997366,3511.561851159342,138.36909157386592,35.46184652904961,64.21452532467973,79.0045692807581,0.0
9,04:00,16814.0,1903.851433503184,6578.356225794867,8482.20765929805,11.07597177200994,3341.0,1753.2224783810498,8320.71636892994,4979.71636892994,3226.49389054889,138.6965702222158,36.10063071751844,61.559598195552994,77.82200135447425,0.0
10,04:30,16236.0,1986.2792269792392,6717.56749723601,8703.84672421525,8.892204081153801,3342.0,1206.7484766285222,7523.261071703597,4181.261071703597,2974.5125950750744,138.1081879938034,35.8660534463595,58.60586385515556,77.20755869000247,0.0
11,05:00,16341.0,2031.0886784246336,6531.009825072008,8562.098503496642,14.172752155626222,3341.0,1082.4954694122864,7764.728744347733,4423.728744347733,3341.2332749354464,138.73894193337716,37.83291687482888,59.60009876215857,80.68974622064914,0.0
12,05:30,16606.0,2108.311695037726,6520.479292541825,8628.790987579552,9.577634919217669,3343.0,963.8090098363734,7967.631377501229,4624.6313775012295,3660.822367664856,138.5793409753668,41.37959527289312,63.12397828155311,82.22805759813589,0.0
13,06:00,17247.0,2145.6072283375534,6410.429153503743,8556.036381841295,22.03683334595805,3339.0,876.8031625717462,8668.926784812747,5329.926784812747,4453.123622241002,143.0109094954327,43.03790549329553,65.04722542087497,82.63737423919389,0.0
14,06:30,18009.0,2113.9467995815603,6398.752049971724,8512.698849553284,10.262602578107192,3332.0,992.5518607780698,9486.03854786861,6154.038547868609,5161.48668709054,146.03686866140814,42.233324593577045,74.69252985455803,90.40161281676848,0.0
15,07:00,18792.0,1881.255228519493,6511.037738556266,8392.292967075758,154.25293840087497,3338.0,2357.775116624572,10245.454094523366,6907.454094523366,4549.678977898794,147.13465503135637,45.95709640308715,83.74301469943866,94.98527971025544,0.0
