settlement_period,gb_time,demand_mw,embedded_wind_mw,transmission_wind_mw,total_wind_mw,solar_mw,nuclear_mw,net_import_mw,residual_before_nuclear_mw,residual_after_nuclear_mw,net_system_short_mw,inertia_gvas,price_p10_gbp_mwh,price_p50_gbp_mwh,price_p90_gbp_mwh,negative_price_probability
1,00:00,21787.0,4116.718322562285,13410.427350615995,17527.145673178282,6.0319744200266605,4900.0,-3571.2060803526024,4253.82235240169,-646.1776475983097,2925.0284327542927,120.23697732596258,-2.519804150299613,16.870870050501033,43.58290010432135,0.167
2,00:30,21558.0,3938.348020456238,13591.166828428772,17529.51484888501,3.033341778759918,4896.0,-3491.176607714768,4025.4518093362312,-870.5481906637688,2620.628417051,119.81371134747192,-4.867138866486043,10.486947368068442,37.676436074389706,0.255
3,01:00,21534.0,4089.0459195151448,13793.86517427211,17882.911093787254,7.718323513679284,4901.0,-4442.674555734617,3643.3705826990654,-1257.6294173009337,3185.045138433683,118.93805758454032,-7.602170664340094,6.416734606087827,30.3071412825387,0.395
4,01:30,21009.0,3803.0405156119145,13744.432902304205,17547.47341791612,7.824167003518728,4900.0,-3924.2314405378434,3453.702415080359,-1446.297584919641,2477.9338556182024,118.04454489695264,-6.002469997428207,4.259528215741849,27.685292043392213,0.36
5,02:00,20775.0,3519.343063866719,13696.403572279434,17215.746636146152,9.313577854271305,4904.0,-2829.4092767892757,3549.939785999577,-1354.060214000423,1475.3490627888525,117.3835925013382,-5.07406555712622,8.555061894450489,30.724382389091204,0.307
6,02:30,20255.0,3487.72497318468,13549.08669992778,17036.81167311246,9.328585302247529,4902.0,-2566.466179645793,3208.859741585293,-1693.1402584147072,873.3259212310859,116.40801443845444,-4.221446613940469,4.132549553916363,26.57243195445087,0.294
7,03:00,19779.0,3344.041612760996,13562.279721503886,16906.32133426488,9.33418869692052,4899.0,-2533.740018437412,2863.344477038197,-2035.6555229618025,498.0844954756094,114.23009659432356,-5.254347253607522,2.078992248625245,25.73291605994108,0.393
8,03:30,19212.0,3389.052803476359,13700.401796267892,17089.45459974425,8.570503206132768,4896.0,-3067.982205811632,2113.974897049615,-2782.025102950385,285.9571028612468,114.66660791365854,-4.749667334255375,0.5733580390546736,23.00185596703164,0.448
9,04:00,19171.0,3267.017065348533,13625.383529332445,16892.400594680978,8.293375178145352,4894.0,-3052.6834974938306,2270.306030140877,-2623.693969859123,428.9895276347074,114.19544572446918,-0.8000708976003355,4.068661999605274,26.229694025432213,0.148
10,04:30,18775.0,3114.608748535131,13567.614154618092,16682.222903153222,7.758090376102784,4900.0,-2008.4931035977504,2085.019006470673,-2814.980993529327,-806.4878899315768,113.45454868018024,-0.520340594340847,4.793528775398867,28.727535546616544,0.127
11,05:00,18801.0,3131.466566831942,13488.6196489209,16620.086215752843,7.777368232635878,4889.0,-1029.7331401952545,2173.1364160145204,-2715.86358398548,-1686.1304437902252,113.83914290537236,4.369834578209205,10.131540849610378,34.14102647031903,0.026
12,05:30,18717.0,3083.110463612637,13432.99451685098,16516.104980463617,6.141653852717915,4885.0,-374.7103481136844,2194.753365683664,-2690.246634316336,-2315.536286202652,114.17296591066446,3.437398665593398,7.998991067717446,31.37338240345611,0.029
13,06:00,19354.0,3128.543477196742,13379.204091911088,16507.74756910783,19.67823898563597,4886.0,-557.3002515505343,2826.5741919065367,-2059.4258080934637,-1502.125556542929,116.5835676031377,2.2741148296062623,6.930477812034968,31.55362982207613,0.036
14,06:30,19909.0,2963.99143914216,13261.212837457031,16225.204276599194,182.86862622979905,4885.0,23.83598734709217,3500.9270971710066,-1384.0729028289934,-1407.9088901760856,116.69346521048143,7.935050711096429,14.165143889012125,41.04223439958372,0.0
15,07:00,20579.0,2932.566893663334,12703.602897208946,15636.16979087228,483.3720119892733,4893.0,801.6996020270014,4459.458197138447,-433.5418028615532,-1235.2414048885546,118.94512358419476,7.551454987267119,20.06192178455273,55.92332781848169,0.0
16,07:30,21466.0,2892.387401056397,13071.33561392352,15963.723014979918,1998.213693556993,4888.0,1760.366460061979,3504.063291463088,-1383.9367085369122,-3144.3031685988917,119.88819170747328,5.655844129330407,18.979135577213647,48.58467470661137,0.013
17,08:00,22540.0,2899.4009796129817,13207.091373849482,16106.492353462463,3208.8230013103785,4884.0,2561.302577994515,3224.6846452271566,-1659.3153547728434,-4220.617932767358,120.66680807837535,4.573317001634432,21.27545218684368,49.35091519541839,0.019
18,08:30,22991.0,2966.425926778498,13044.188974093884,16010.614900872382,4134.10536841095,4890.0,2813.826964202715,2846.2797307166693,-2043.7202692833307,-4857.547233486046,119.9445230353332,4.953429256102995,23.457597559205084,48.05858835946449,0.021
19,09:00,24048.0,3007.8029487037143,12818.631236909438,15826.434185613152,5092.135924450766,4891.0,2567.20640276959,3129.42988993608,-1761.57011006392,-4328.77651283351,120.22436528918784,6.148380778240522,24.24535264654661,51.81305138054973,0.023
20,09:30,24351.0,2678.865717715898,12173.76012969751,14852.625847413408,6016.532326598835,4897.0,2882.6200344766003,3481.841825987758,-1415.158174012242,-4297.778208488842,121.21544561843264,4.781608247461549,29.16554402020133,51.777258695898574,0.032
