settlement_period,gb_time,demand_mw,embedded_wind_mw,transmission_wind_mw,total_wind_mw,solar_mw,nuclear_mw,net_import_mw,residual_before_nuclear_mw,residual_after_nuclear_mw,net_system_short_mw,inertia_gvas,price_p10_gbp_mwh,price_p50_gbp_mwh,price_p90_gbp_mwh,negative_price_probability
1,00:00,22566.0,2232.188271998232,9949.121346034315,12181.309618032548,0.0,4387.0,1581.0267413229649,10384.690381967452,5997.690381967452,4416.663640644487,133.31775045971082,39.84343732529573,78.43706727608581,90.08561616335813,0.0
2,00:30,22285.0,2135.5336925611496,9233.78174261324,11369.315435174389,0.0,4390.0,1294.3911221503397,10915.684564825611,6525.684564825611,5231.293442675272,132.9897177463938,41.32560213256366,80.77706062593928,91.92525232403672,0.0
3,01:00,22291.0,2066.119972950837,8615.394497461344,10681.51447041218,0.0,4386.0,1355.3158469302236,11609.48552958782,7223.485529587819,5868.169682657595,132.0954536726541,48.002036998182646,81.70484682450868,90.82760209840728,0.0
4,01:30,21994.0,2114.146696475532,9061.381197677574,11175.527894153109,0.0,4392.0,687.5633259636048,10818.472105846891,6426.472105846893,5738.908779883288,131.59498746323416,41.94321650852535,77.14205570671567,88.92725553079916,0.0
5,02:00,21900.0,2186.744354278906,8908.657387150806,11095.401741429712,0.0,4386.0,499.707619908373,10804.598258570288,6418.598258570288,5918.890638661915,130.40164609639422,43.97232564378409,79.05712996078552,90.0119886982047,0.0
6,02:30,21397.0,2140.23793229856,8492.200608557017,10632.438540855575,0.0,4390.0,430.2428558299736,10764.561459144425,6374.561459144423,5944.318603314449,134.63309950258352,43.08484550905721,77.14450540110371,88.75406599144965,0.0
7,03:00,20879.0,2074.4977977435674,8313.067810484965,10387.565608228531,0.0,4390.0,1026.0722902733642,10491.434391771469,6101.434391771469,5075.3621014981045,137.65874776337932,42.7466333262676,75.38336816133544,88.68026070371292,0.0
8,03:30,20785.0,2032.622108470696,8205.334694819874,10237.95680329057,0.4663420366453087,4378.0,1028.1965418984166,10546.576854672783,6168.576854672785,5140.380312774369,135.42649080031782,42.9399784335808,74.44216101038319,87.75817501445042,0.0
9,04:00,20082.0,1935.2083599554485,8099.411662290056,10034.620022245505,0.8634384512331464,4381.0,1796.8289780760997,10046.516539303262,5665.516539303262,3868.6875612271615,137.7403476071683,39.78134893085987,71.34948609916499,86.78634631308677,0.0
10,04:30,19980.0,2019.9091884229413,7917.401329306295,9937.310517729236,0.3761611321440093,4379.0,743.8766009465111,10042.31332113862,5663.313321138619,4919.436720192109,133.27451915518273,40.22679794073616,71.78806513065183,86.63889017780436,0.0
11,05:00,19766.0,2028.3697469743436,7769.917723965753,9798.287470940097,2.2150083898324198,4387.0,841.689374202749,9965.497520670073,5578.497520670071,4736.808146467322,136.63575399394765,40.23999533053842,67.01641940338521,83.18311958225576,0.0
12,05:30,20053.0,1957.828108090545,8002.777744461834,9960.60585255238,2.1774451969063,4387.0,742.1410508183936,10090.216702250716,5703.216702250715,4961.075651432321,136.10969606648013,42.81950891391486,68.68272801536826,82.57983015565425,0.0
13,06:00,21312.0,1844.1131965492136,8311.128213958891,10155.241410508104,9.466787382874656,4388.0,953.6985762453,11147.29180210902,6759.291802109021,5805.59322586372,139.67037474557964,43.54791296317774,73.05953960054407,83.70881837918583,0.0
