metric,value,unit
Paper capital,500000.0,GBP
Daily VaR appetite,2.0,% capital
Daily risk budget,10000.0,GBP
Confidence level,95.0,%
Reference position,100.0,MWh
Scenario VaR,16959.45679699072,GBP
Expected Shortfall,18676.583727847905,GBP
Worst simulated loss,21770.67732669446,GBP
Best simulated profit,3767.422214269338,GBP
VaR budget utilisation,169.5945679699072,%
ES budget utilisation,186.76583727847907,%
Maximum volume by VaR,58.96415268308828,MWh
Maximum volume by Expected Shortfall,53.54298273023776,MWh
Binding maximum permissible volume,53.54298273023776,MWh
