settlement_period,gb_time,demand_mw,embedded_wind_mw,transmission_wind_mw,total_wind_mw,solar_mw,nuclear_mw,net_import_mw,residual_before_nuclear_mw,residual_after_nuclear_mw,net_system_short_mw,inertia_gvas,price_p10_gbp_mwh,price_p50_gbp_mwh,price_p90_gbp_mwh,negative_price_probability
1,00:00,22421.0,680.5857343368111,2709.391164762195,3389.976899099006,0.0,3326.0,1764.583623213916,19031.023100900995,15705.023100900997,13940.43947768708,189.09979849262925,76.29391508887048,83.69884910116699,97.60811698613492,0.0
2,00:30,21680.0,652.4639792300408,3123.69095321519,3776.154932445231,0.0,3332.0,2300.0614768526752,17903.84506755477,14571.845067554768,12271.783590702093,185.73978733134416,74.33698914098245,80.50630570374491,93.69169707625548,0.0
3,01:00,21337.0,712.037966597032,3363.382006487829,4075.419973084861,0.0,3333.0,2989.2838488138027,17261.580026915137,13928.580026915137,10939.296178101336,181.18028631973027,74.50629364885216,79.64088019519642,91.89105476933088,0.0
4,01:30,21655.0,847.7056007792897,3794.679966502352,4642.385567281641,0.0,3329.0,2698.6118680512395,17012.614432718357,13683.614432718356,10985.002564667118,169.42939556944668,75.21850708169445,81.14195106607914,91.3027570432874,0.0
5,02:00,21115.0,1142.1703554527614,4898.0688912927335,6040.239246745495,2.915918964282074,3329.0,1697.4478403728176,15071.844834290225,11742.844834290225,10045.396993917406,156.80788723165796,69.6778941980263,78.71393037984078,86.92390759163509,0.0
6,02:30,20461.0,1384.5530565652373,5519.770899025581,6904.323955590818,4.357760293342078,3329.0,1327.34820834765,13552.31828411584,10223.31828411584,8895.970075768191,158.11672650302108,62.39729709746953,77.13777769570514,84.21644898643058,0.0
7,03:00,19954.0,1576.6546409173418,6159.639529377201,7736.294170294543,4.9914375571024685,3326.0,876.6362505632976,12212.714392148357,8886.714392148355,8010.078141585057,152.4507711296782,45.69638550637162,75.44192711622394,82.92543074867088,0.0
8,03:30,19664.0,1215.8661953081137,6377.765055238253,7593.631250546367,0.0,3331.0,1894.1529758083657,12070.368749453632,8739.368749453633,6845.215773645268,151.57477266409958,53.9923337816802,76.2942709920195,82.6587941071961,0.0
9,04:00,19197.0,1062.4347222566328,5624.972690824381,6687.407413081014,0.0,3327.0,2419.420000609431,12509.592586918983,9182.592586918983,6763.172586309554,156.62328350200974,55.46223206602553,74.85432488387002,81.05909394487763,0.0
10,04:30,19042.0,1076.9882404166297,5858.303479348359,6935.2917197649895,0.0,3330.0,2015.830341760997,12106.70828023501,8776.70828023501,6760.877938474014,155.71189397907472,55.342819731025365,76.1342772542265,82.07746271230242,0.0
11,05:00,19463.0,1085.0257868915724,5597.27369825184,6682.299485143412,1.838627202914512,3328.0,1810.211180424501,12778.861887653671,9450.861887653671,7640.6507072291715,161.10578975027238,62.337162616720114,77.2551770216368,85.12231433525342,0.0
12,05:30,20220.0,1277.5683900744373,6526.457296177468,7804.025686251904,0.0,3326.0,1528.0701432526314,12415.974313748096,9089.974313748096,7561.904170495463,156.3308616729256,62.15084406856316,77.04896120948996,84.36994326354711,0.0
